brand,perfume,type,category,target_audience,longevity,longevity_clean,rating,description,mood,occasion
armaf,legesi,edp,Woody Aromatic,Male,Medium,Medium,3.0,legesi by armaf is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
armaf,blue homme,edt,Fresh Scent,Male,Medium,Medium,3.0,blue homme by armaf is a edt perfume designed for Male. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
armaf,odyssey homme,edp,Woody Spicy,Male,Medium,Medium,3.0,odyssey homme by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,odyssey homme white edition,edp,Woody Spicy,Male,Medium,Medium,3.0,odyssey homme white edition by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,odyssey homme gold edition,edp,Woody Spicy,Male,Medium,Medium,3.0,odyssey homme gold edition by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,odyssey homme red,edp,Woody Spicy,Male,Medium,Medium,3.0,odyssey homme red by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,odyssey homme blue,edp,Woody Spicy,Male,Medium,Medium,3.0,odyssey homme blue by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,odyssey homme black,edp,Woody Spicy,Male,Medium,Medium,3.0,odyssey homme black by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,odyssey femme,edp,Floral Fruity,Female,Medium,Medium,3.0,odyssey femme by armaf is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
armaf,tag him,edt,Woody Spicy,Male,Medium,Medium,3.0,tag him by armaf is a edt perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,tag him prestige edition,edt,Woody Spicy,Male,Medium,Medium,3.0,tag him prestige edition by armaf is a edt perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,tag him pour homme,edt,Woody Spicy,Male,Medium,Medium,3.0,tag him pour homme by armaf is a edt perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,tag her,edp,Floral Fruity,Female,Medium,Medium,3.0,tag her by armaf is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
armaf,derby club house blanche,edt,Fresh Scent,Unisex,Medium,Medium,3.0,derby club house blanche by armaf is a edt perfume designed for Unisex. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
armaf,derby club house gold,edt,Woody Spicy,Male,Medium,Medium,3.0,derby club house gold by armaf is a edt perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,derby club house ascot,edt,Woody Spicy,Male,Medium,Medium,3.0,derby club house ascot by armaf is a edt perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,derby club house adventure,edt,Woody Aromatic,Male,Medium,Medium,3.0,derby club house adventure by armaf is a edt perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
armaf,derby club house victory,edt,Woody Aromatic,Male,Medium,Medium,3.0,derby club house victory by armaf is a edt perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
armaf,derby club house blue,edt,Fresh Scent,Unisex,Medium,Medium,3.0,derby club house blue by armaf is a edt perfume designed for Unisex. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
armaf,all you need is passion,edp,Woody Spicy,Male,Medium,Medium,3.0,all you need is passion by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,the pride of armaf for men,edp,Woody Spicy,Male,Medium,Medium,3.0,the pride of armaf for men by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,the pride of armaf for women,edp,Floral Fruity,Female,Medium,Medium,3.0,the pride of armaf for women by armaf is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
armaf,the warrior,edt,Woody Spicy,Male,Medium,Medium,3.0,the warrior by armaf is a edt perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,the hunter,edt,Woody Spicy,Male,Medium,Medium,3.0,the hunter by armaf is a edt perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,the hunter intense,edp,Woody Spicy,Male,Strong,Strong,4.0,the hunter intense by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
armaf,the hunter black,edp,Woody Spicy,Male,Strong,Strong,4.0,the hunter black by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
armaf,the hunter jungle,edp,Woody Spicy,Male,Medium,Medium,3.0,the hunter jungle by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,the legacy,edp,Woody Aromatic,Male,Medium,Medium,3.0,the legacy by armaf is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
armaf,the signature for women,edp,Floral Fruity,Female,Medium,Medium,3.0,the signature for women by armaf is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
armaf,the signature for men,edp,Woody Spicy,Male,Medium,Medium,3.0,the signature for men by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,club de nuit intense man limited edition parfum,parfum,Woody Spicy,Male,Strong,Strong,4.0,club de nuit intense man limited edition parfum by armaf is a parfum perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
armaf,club de nuit intense women limited edition,parfum,Floral Fruity,Female,Strong,Strong,4.0,club de nuit intense women limited edition by armaf is a parfum perfume designed for Female. It belongs to the Floral Fruity category and has Strong longevity.,"romantic, happy","daytime, casual"
armaf,club de nuit milestones,edp,Woody Spicy,Male,Medium,Medium,3.0,club de nuit milestones by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,club de nuit sillage,edp,Woody Spicy,Male,Medium,Medium,3.0,club de nuit sillage by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,club de nuit imperiale,edp,Woody Spicy,Male,Medium,Medium,3.0,club de nuit imperiale by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,club de nuit urban man,edp,Woody Spicy,Male,Medium,Medium,3.0,club de nuit urban man by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,club de nuit urban woman,edp,Floral Fruity,Female,Medium,Medium,3.0,club de nuit urban woman by armaf is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
armaf,club de nuit untold,parfum,Woody Spicy,Male,Strong,Strong,4.0,club de nuit untold by armaf is a parfum perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
armaf,club de nuit timeless,parfum,Woody Spicy,Male,Strong,Strong,4.0,club de nuit timeless by armaf is a parfum perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
armaf,club de nuit iconic,edp,Woody Spicy,Male,Medium,Medium,3.0,club de nuit iconic by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,ventana pour homme,edp,Fresh Scent,Male,Medium,Medium,3.0,ventana pour homme by armaf is a edp perfume designed for Male. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
armaf,ventana pour femme,edp,Floral Fruity,Female,Medium,Medium,3.0,ventana pour femme by armaf is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
armaf,ventana noir,edp,Woody Spicy,Male,Medium,Medium,3.0,ventana noir by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,ventana azure,edp,Fresh Scent,Male,Medium,Medium,3.0,ventana azure by armaf is a edp perfume designed for Male. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
armaf,opus homme,edp,Woody Spicy,Male,Medium,Medium,3.0,opus homme by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,opus femme,edp,Floral Fruity,Female,Medium,Medium,3.0,opus femme by armaf is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
armaf,opus noir,edp,Woody Spicy,Male,Medium,Medium,3.0,opus noir by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,opus blue,edp,Fresh Scent,Male,Medium,Medium,3.0,opus blue by armaf is a edp perfume designed for Male. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
armaf,opus rouge,edp,Woody Spicy,Male,Medium,Medium,3.0,opus rouge by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,opus gold,edp,Woody Spicy,Male,Medium,Medium,3.0,opus gold by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,magnificent pour homme,edp,Woody Spicy,Male,Medium,Medium,3.0,magnificent pour homme by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,magnificent pour femme,edp,Floral Fruity,Female,Medium,Medium,3.0,magnificent pour femme by armaf is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
fragrance world,spectre ghost,edp,Woody Aromatic,Male,Medium,Medium,3.0,spectre ghost by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,spectre wraith,edp,Woody Spicy,Male,Strong,Strong,4.0,spectre wraith by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
fragrance world,pinnace white,edp,Fresh Scent,Unisex,Medium,Medium,3.0,pinnace white by fragrance world is a edp perfume designed for Unisex. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
fragrance world,essence de blanc,edp,Floral Fruity,Female,Medium,Medium,3.0,essence de blanc by fragrance world is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
fragrance world,vulcan feu french avenue,edp,Woody Spicy,Male,Strong,Strong,4.0,vulcan feu french avenue by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
fragrance world,urban man elixir,edp,Woody Spicy,Male,Medium,Medium,3.0,urban man elixir by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
fragrance world,nuke 2.0,edp,Woody Aromatic,Male,Medium,Medium,3.0,nuke 2.0 by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,suits,edp,Woody Aromatic,Male,Medium,Medium,3.0,suits by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,sultry woods,edp,Woody Spicy,Male,Strong,Strong,4.0,sultry woods by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
fragrance world,fierte,edp,Woody Aromatic,Male,Medium,Medium,3.0,fierte by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,green saphire,edp,Fresh Scent,Unisex,Medium,Medium,3.0,green saphire by fragrance world is a edp perfume designed for Unisex. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
fragrance world,eau de spice,edp,Spicy Aromatic,Male,Medium,Medium,3.0,eau de spice by fragrance world is a edp perfume designed for Male. It belongs to the Spicy Aromatic category and has Medium longevity.,,
fragrance world,imperial fragrance world,edp,Woody Spicy,Male,Strong,Strong,4.0,imperial fragrance world by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
fragrance world,divin asylum,edp,Woody Aromatic,Male,Medium,Medium,3.0,divin asylum by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,divin oud,edp,Oud,Unisex,Strong,Strong,4.0,divin oud by fragrance world is a edp perfume designed for Unisex. It belongs to the Oud category and has Strong longevity.,"luxurious, mysterious","evening, luxury events"
fragrance world,francique 63.55,edp,Woody Aromatic,Male,Medium,Medium,3.0,francique 63.55 by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,my soulmate body,edp,Floral Fruity,Female,Medium,Medium,3.0,my soulmate body by fragrance world is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
fragrance world,mirag absolu,edp,Woody Spicy,Male,Strong,Strong,4.0,mirag absolu by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
fragrance world,tropical kiss,edp,Fruity Floral,Female,Medium,Medium,3.0,tropical kiss by fragrance world is a edp perfume designed for Female. It belongs to the Fruity Floral category and has Medium longevity.,"sweet, cheerful","daytime, brunch"
fragrance world,aqua pura,edp,Fresh Scent,Unisex,Medium,Medium,3.0,aqua pura by fragrance world is a edp perfume designed for Unisex. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
fragrance world,arabian incense,edp,Oriental Woody,Unisex,Strong,Strong,4.0,arabian incense by fragrance world is a edp perfume designed for Unisex. It belongs to the Oriental Woody category and has Strong longevity.,"mysterious, deep","formal, dinner"
fragrance world,hibiscus magic,edp,Floral Fruity,Female,Medium,Medium,3.0,hibiscus magic by fragrance world is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
fragrance world,brown sugar,edp,Gourmand,Unisex,Medium,Medium,3.0,brown sugar by fragrance world is a edp perfume designed for Unisex. It belongs to the Gourmand category and has Medium longevity.,"playful, sweet","dessert, casual"
fragrance world,aqua royale blue,edp,Fresh Scent,Male,Medium,Medium,3.0,aqua royale blue by fragrance world is a edp perfume designed for Male. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
fragrance world,enigma une,edp,Woody Aromatic,Male,Medium,Medium,3.0,enigma une by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,enigma trois,edp,Woody Aromatic,Male,Medium,Medium,3.0,enigma trois by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,imperium edp,edp,Woody Spicy,Male,Strong,Strong,4.0,imperium edp by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
fragrance world,bavaria pour homme,edp,Woody Aromatic,Male,Medium,Medium,3.0,bavaria pour homme by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,aventos green,edp,Fresh Scent,Male,Medium,Medium,3.0,aventos green by fragrance world is a edp perfume designed for Male. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
fragrance world,absolute oud magnificent 7,edp,Oud,Unisex,Strong,Strong,4.0,absolute oud magnificent 7 by fragrance world is a edp perfume designed for Unisex. It belongs to the Oud category and has Strong longevity.,"luxurious, mysterious","evening, luxury events"
fragrance world,f le parfum,parfum,Floral Fruity,Female,Strong,Strong,4.0,f le parfum by fragrance world is a parfum perfume designed for Female. It belongs to the Floral Fruity category and has Strong longevity.,"romantic, happy","daytime, casual"
fragrance world,giorgio black special edition,edp,Woody Spicy,Male,Medium,Medium,3.0,giorgio black special edition by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
fragrance world,harmony code absolute,edp,Woody Aromatic,Male,Medium,Medium,3.0,harmony code absolute by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,barakkat rouge 540,edp,Oud,Unisex,Strong,Strong,4.0,barakkat rouge 540 by fragrance world is a edp perfume designed for Unisex. It belongs to the Oud category and has Strong longevity.,"luxurious, mysterious","evening, luxury events"
fragrance world,barakkat aqua stellar,edp,Fresh Scent,Unisex,Medium,Medium,3.0,barakkat aqua stellar by fragrance world is a edp perfume designed for Unisex. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
fragrance world,mocha wood,edp,Gourmand,Unisex,Medium,Medium,3.0,mocha wood by fragrance world is a edp perfume designed for Unisex. It belongs to the Gourmand category and has Medium longevity.,"playful, sweet","dessert, casual"
fragrance world,star men nebula,edp,Woody Aromatic,Male,Medium,Medium,3.0,star men nebula by fragrance world is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
fragrance world,la uno forever,edp,Floral Fruity,Female,Medium,Medium,3.0,la uno forever by fragrance world is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
fragrance world,royal blend nero,edp,Woody Spicy,Male,Medium,Medium,3.0,royal blend nero by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
fragrance world,royal blend,edp,Woody Spicy,Male,Medium,Medium,3.0,royal blend by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
fragrance world,sweet paradise,edp,Fruity Floral,Female,Medium,Medium,3.0,sweet paradise by fragrance world is a edp perfume designed for Female. It belongs to the Fruity Floral category and has Medium longevity.,"sweet, cheerful","daytime, brunch"
fragrance world,cocktail intense,edp,Woody Spicy,Male,Medium,Medium,3.0,cocktail intense by fragrance world is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
rasasi,shaghaf (nafaies al shaghaf),edp,Sweet Spicy Oriental,Unisex,Strong,Strong,4.0,shaghaf (nafaies al shaghaf) by rasasi is a edp perfume designed for Unisex. It belongs to the Sweet Spicy Oriental category and has Strong longevity.,"bold, warm","evening, party"
rasasi,shuhrah,edp,Woody Spicy,Unisex,Strong,Strong,4.0,shuhrah by rasasi is a edp perfume designed for Unisex. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
rasasi,sotoor seen,edp,Fresh Spicy,Unisex,Medium,Medium,3.0,sotoor seen by rasasi is a edp perfume designed for Unisex. It belongs to the Fresh Spicy category and has Medium longevity.,"vibrant, lively","outdoors, casual"
rasasi,sotoor taa,edp,Fresh Aromatic,Unisex,Medium,Medium,3.0,sotoor taa by rasasi is a edp perfume designed for Unisex. It belongs to the Fresh Aromatic category and has Medium longevity.,"bright, uplifting","daily, errands"
rasasi,sotoor waaw,edp,Fresh Woody,Unisex,Medium,Medium,3.0,sotoor waaw by rasasi is a edp perfume designed for Unisex. It belongs to the Fresh Woody category and has Medium longevity.,"calm, grounded","nature outing, casual"
rasasi,hawas tropical,edp,Fruity Fresh,Male,Medium,Medium,3.0,hawas tropical by rasasi is a edp perfume designed for Male. It belongs to the Fruity Fresh category and has Medium longevity.,,
riffs,deoro patchouli,edp,Earthy Woody,Unisex,Medium–Strong,Strong,3.0,deoro patchouli by riffs is a edp perfume designed for Unisex. It belongs to the Earthy Woody category and has Strong longevity.,,
riffs,elegant homme,edp,Fresh Woody,Male,Medium,Medium,3.0,elegant homme by riffs is a edp perfume designed for Male. It belongs to the Fresh Woody category and has Medium longevity.,"calm, grounded","nature outing, casual"
riffs,goodness oud,edp,Rich Oud,Unisex,Strong,Strong,4.0,goodness oud by riffs is a edp perfume designed for Unisex. It belongs to the Rich Oud category and has Strong longevity.,,
riffs,imperial blue,edp,Fresh Aromatic,Male,Light–Medium,Medium,2.0,imperial blue by riffs is a edp perfume designed for Male. It belongs to the Fresh Aromatic category and has Medium longevity.,"bright, uplifting","daily, errands"
riffs,majestic rose,edp,Floral Rose,Female,Strong,Strong,4.0,majestic rose by riffs is a edp perfume designed for Female. It belongs to the Floral Rose category and has Strong longevity.,"romantic, elegant","romantic, date"
riffs,wonder of you,edp,Sweet Floral,Unisex,Medium,Medium,3.0,wonder of you by riffs is a edp perfume designed for Unisex. It belongs to the Sweet Floral category and has Medium longevity.,"feminine, soft","party, casual"
ibraheem al qurashi,blue oud,edp,Oud Floral,Unisex,Strong,Strong,4.0,blue oud by ibraheem al qurashi is a edp perfume designed for Unisex. It belongs to the Oud Floral category and has Strong longevity.,"sensual, elegant","special occasions, evening"
ibraheem al qurashi,golden amber,edp,Amber Oriental,Unisex,Strong,Strong,4.0,golden amber by ibraheem al qurashi is a edp perfume designed for Unisex. It belongs to the Amber Oriental category and has Strong longevity.,"warm, cozy","dinner, romantic"
nusuk,al mukhtalif signature,edp,Oriental Woody,Unisex,Medium,Medium,3.0,al mukhtalif signature by nusuk is a edp perfume designed for Unisex. It belongs to the Oriental Woody category and has Medium longevity.,"mysterious, deep","formal, dinner"
